0.00,0.10,0.20,0.30,0.40,0.50,0.60,0.70,0.80,0.90,1.00,1.10,1.20,1.30,1.40,1.50,1.60,1.70,1.80,1.90,2.00,2.10,2.20,2.30,2.40,2.50,2.60,2.70,2.80,2.90,3.00,
0.00,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,
1.0000,0.9920,0.9840,0.9761,0.9681,0.9601,0.9522,0.9442,0.9362,0.9283,
0.9203,0.9124,0.9045,0.8966,0.8887,0.8808,0.8729,0.8650,0.8572,0.8493,
0.8415,0.8337,0.8259,0.8181,0.8103,0.8206,0.7949,0.7872,0.7795,0.7718
0.7642,0.7566,0.7490,0.7414,0.7339,0.7263,0.7188,0.7114,0.7039,0.6965,
0.6892,0.6818,0.6745,0.6672,0.6599,0.6527,0.6455,0.6384,0.6312,0.6241,
0.6171,0.6101,0.6031,0.5961,0.5892,0.5823,0.5755,0.5687,0.5619,0.5552,
0.5485,0.5419,0.5353,0.5287,0.5222,0.5157,0.5093,0.5029,0.4965,0.4902,
0.4839,0.4777,0.4715,0.4654,0.4593,0.4533,0.4473,0.4413,0.4354,0.4295,
0.4237,0.4179,0.4122,0.4065,0.4009,0.3953,0.3898,0.3843,0.3789,0.3735,
0.3681,0.3628,0.3576,0.3524,0.3472,0.3421,0.3371,0.3320,0.3271,0.3222,
0.3173,0.3125,0.3077,0.3030,0.2983,0.2837,0.2891,0.2846,0.2801,0.2757,
0.2713,0.2670,0.2627,0.2585,0.2543,0.2501,0.2460,0.2420,0.2380,0.2340,
0.2301,0.2263,0.2225,0.2187,0.2150,0.2113,0.2077,0.2041,0.2005,0.1971,
0.1936,0.1902,0.1868,0.1835,0.1802,0.1770,0.1738,0.1707,0.1676,0.1645,
0.1615,0.1585,0.1556,0.1527,0.1499,0.1471,0.1443,0.1416,0.1389,0.1362,
0.1336,0.1310,0.1285,0.1260,0.1236,0.1211,0.1188,0.1164,0.1141,0.1118,
0.1096,0.1074,0.1052,0.1031,0.1010,0.0989,0.0969,0.0949,0.0930,0.0910,
0.0891,0.0873,0.0854,0.0836,0.0819,0.0801,0.0784,0.0767,0.0751,0.0735,
0.0719,0.0703,0.0688,0.0672,0.0658,0.0643,0.0629,0.0615,0.0601,0.0588,
0.0574,0.0561,0.0549,0.0536,0.0524,0.0512,0.0500,0.0488,0.0477,0.0466,
0.0455,0.0444,0.0434,0.0424,0.0414,0.0404,0.0394,0.0385,0.0375,0.0366,
0.0357,0.0349,0.0340,0.0332,0.0324,0.0316,0.0308,0.0300,0.0293,0.0285,
0.0278,0.0271,0.0264,0.0257,0.0251,0.0244,0.0238,0.0232,0.0226,0.0220,
0.0214,0.0209,0.0203,0.0198,0.0193,0.0188,0.0183,0.0178,0.0173,0.0168,
0.0164,0.0160,0.0155,0.0151,0.0147,0.0143,0.0139,0.0135,0.0131,0.0128,
0.0124,0.0121,0.0117,0.0114,0.0111,0.0108,0.0105,0.0102,0.0099,0.0096,
0.0093,0.0091,0.0088,0.0085,0.0083,0.0080,0.0078,0.0076,0.0074,0.0071,
0.0069,0.0067,0.0065,0.0063,0.0061,0.0060,0.0058,0.0056,0.0054,0.0053,
0.0051,0.0050,0.0048,0.0047,0.0045,0.0044,0.0042,0.0041,0.0040,0.0039,
0.0037,0.0036,0.0035,0.0034,0.0033,0.0032,0.0031,0.0030,0.0029,0.0028,
0.0027,0.0026,0.0025,0.0024,0.0024,0.0023,0.0022,0.0021,0.0021,0.0020,
